epoch,accuracy,loss,val_accuracy,val_loss
1,0.4729073941707611,1.497869849205017,0.6496666669845581,1.0760791301727295
2,0.7200555801391602,0.9183435440063477,0.7574999928474426,0.7999681234359741
3,0.7801111340522766,0.7315934896469116,0.7943333387374878,0.6978331804275513
4,0.8016481399536133,0.6589676737785339,0.8043333292007446,0.6523518562316895
5,0.812666654586792,0.621398389339447,0.8148333430290222,0.6206887364387512
6,0.8202407360076904,0.5967179536819458,0.8159999847412109,0.6040183305740356
7,0.8255184888839722,0.577407956123352,0.8245000243186951,0.5933825969696045
8,0.8294073939323425,0.5633681416511536,0.8273333311080933,0.5795364379882812
9,0.8337036967277527,0.551030158996582,0.8264999985694885,0.5790205597877502
10,0.8364259004592896,0.5406883955001831,0.8276666402816772,0.5696626901626587
11,0.8393703699111938,0.5330514907836914,0.8264999985694885,0.5725257396697998
12,0.8407407402992249,0.5264405012130737,0.8309999704360962,0.5599230527877808
13,0.8433703780174255,0.5195125341415405,0.8356666564941406,0.5521553158760071
14,0.8454999923706055,0.5134881734848022,0.831333339214325,0.5527371168136597
15,0.8479999899864197,0.5077846646308899,0.8320000171661377,0.5484555959701538
