epoch,accuracy,loss,val_accuracy,val_loss
1,0.8242407441139221,0.5993414521217346,0.874833345413208,0.4219302833080292
2,0.8965370655059814,0.3449781835079193,0.903333306312561,0.32494890689849854
3,0.9208333492279053,0.2706397473812103,0.9129999876022339,0.2920226454734802
4,0.9345185160636902,0.22551900148391724,0.9254999756813049,0.25696101784706116
5,0.9440740942955017,0.19423672556877136,0.9279999732971191,0.24200136959552765
6,0.9508703947067261,0.17234784364700317,0.9319999814033508,0.2329445630311966
7,0.9557963013648987,0.15440838038921356,0.9375,0.22674210369586945
8,0.9602037072181702,0.13898928463459015,0.9366666674613953,0.21608567237854004
9,0.9636481404304504,0.12731720507144928,0.9390000104904175,0.21660691499710083
10,0.9669444561004639,0.11671484261751175,0.9380000233650208,0.22303760051727295
11,0.9698888659477234,0.10777745395898819,0.9415000081062317,0.21840925514698029
12,0.9715185165405273,0.09905959665775299,0.9380000233650208,0.233566552400589
13,0.974574089050293,0.09209295362234116,0.9426666498184204,0.22022844851016998
14,0.9767962694168091,0.0845012366771698,0.9431666731834412,0.22505150735378265
15,0.9782222509384155,0.07884079217910767,0.9413333535194397,0.23138800263404846
