epoch,accuracy,loss,val_accuracy,val_loss
1,0.9128888845443726,0.2873493731021881,0.9608333110809326,0.13266873359680176
2,0.9766666889190674,0.07848440855741501,0.9771666526794434,0.07970714569091797
3,0.9880555272102356,0.039381470531225204,0.9828333258628845,0.07822919636964798
4,0.9928333163261414,0.023100456222891808,0.9735000133514404,0.11326654255390167
5,0.9936296343803406,0.019220052286982536,0.9785000085830688,0.09775151312351227
6,0.9950925707817078,0.015034494921565056,0.9808333516120911,0.08933394402265549
7,0.9969629645347595,0.009709995239973068,0.981166660785675,0.09942442923784256
8,0.996666669845581,0.00983517337590456,0.9821666479110718,0.09627796709537506
9,0.9966852068901062,0.009761475957930088,0.981333315372467,0.11439987272024155
10,0.9973333477973938,0.008654030971229076,0.9794999957084656,0.12054229527711868
11,0.9975000023841858,0.008265585638582706,0.9825000166893005,0.10433477908372879
12,0.9987778067588806,0.003750287462025881,0.9766666889190674,0.14295844733715057
13,0.996925950050354,0.009135724976658821,0.9810000061988831,0.11420087516307831
14,0.9975555539131165,0.00830093678086996,0.9818333387374878,0.10640184581279755
15,0.9986666440963745,0.004189704079180956,0.9838333129882812,0.11152727901935577
