epoch,accuracy,loss,val_accuracy,val_loss
1,0.8915370106697083,0.35059231519699097,0.9623333215713501,0.12557420134544373
2,0.973981499671936,0.0905332937836647,0.9739999771118164,0.08630820363759995
3,0.9852407574653625,0.049659907817840576,0.9783333539962769,0.08652638643980026
4,0.9912962913513184,0.029560858383774757,0.9804999828338623,0.08129208534955978
5,0.99485182762146,0.017240826040506363,0.9803333282470703,0.09185457229614258
6,0.9963889122009277,0.01163472980260849,0.9810000061988831,0.10142569243907928
7,0.9977037310600281,0.006873082835227251,0.9793333411216736,0.13153786957263947
8,0.9978703856468201,0.006551145575940609,0.9829999804496765,0.11207983642816544
9,0.9983333349227905,0.00509804068133235,0.9808333516120911,0.12961886823177338
10,0.9987407326698303,0.00398936215788126,0.9800000190734863,0.1426350474357605
11,0.9991852045059204,0.0024902448058128357,0.9808333516120911,0.14215277135372162
12,0.9992036819458008,0.002460972173139453,0.9806666374206543,0.16650475561618805
13,0.9990000128746033,0.003255121875554323,0.9796666502952576,0.17437699437141418
14,0.9995185136795044,0.0017758620670065284,0.9816666841506958,0.1850469410419464
15,0.9992963075637817,0.0027367547154426575,0.9819999933242798,0.15601050853729248
