epoch,accuracy,loss,val_accuracy,val_loss
1,0.901888906955719,0.3218015730381012,0.9578333497047424,0.1412109136581421
2,0.9730740785598755,0.09253746271133423,0.9738333225250244,0.09228485822677612
3,0.984074056148529,0.05333104729652405,0.9741666913032532,0.08941248804330826
4,0.9904999732971191,0.030547764152288437,0.9788333177566528,0.08476415276527405
5,0.9926111102104187,0.02263309434056282,0.9735000133514404,0.11023487150669098
6,0.994092583656311,0.017305858433246613,0.984000027179718,0.07833986729383469
7,0.996055543422699,0.012392849661409855,0.9819999933242798,0.09099334478378296
8,0.9957407116889954,0.012409700080752373,0.9816666841506958,0.09839312732219696
9,0.996222198009491,0.010505790822207928,0.9778333306312561,0.12086191028356552
10,0.9969629645347595,0.010012996383011341,0.9826666712760925,0.09375739842653275
