epoch,accuracy,loss,val_accuracy,val_loss
1,0.897944450378418,0.33251291513442993,0.9636666774749756,0.12869147956371307
2,0.9752592444419861,0.08358029276132584,0.9760000109672546,0.09807925671339035
3,0.9869629740715027,0.043304234743118286,0.9771666526794434,0.09278552234172821
4,0.9932222366333008,0.02241705171763897,0.9783333539962769,0.10039542615413666
5,0.9954814910888672,0.01360116247087717,0.9778333306312561,0.10906580835580826
6,0.9964629411697388,0.010379583574831486,0.9778333306312561,0.12570756673812866
7,0.9971296191215515,0.008291378617286682,0.9785000085830688,0.12115132808685303
8,0.9980555772781372,0.005568929482251406,0.9800000190734863,0.14026212692260742
9,0.9983518719673157,0.005031391978263855,0.9783333539962769,0.15493057668209076
10,0.9983888864517212,0.0046312822960317135,0.9788333177566528,0.1754896193742752
