model_family,config_name,optimizer,epochs,best_epoch,train_accuracy,val_accuracy,best_val_accuracy,test_accuracy,loss,params,model_path,summary_path,history_path
mlp,mlp_h2_u64_32_rmsprop_e10,rmsprop,10,7,0.9698518514633179,0.9358333349227905,0.9366666674613953,0.8586000204086304,0.5515415072441101,52650,outputs\models\mlp_h2_u64_32_rmsprop_e10.keras,outputs\summaries\mlp_h2_u64_32_rmsprop_e10_summary.txt,outputs\metrics\mlp_h2_u64_32_rmsprop_e10_history.csv
mlp,mlp_h2_u64_32_rmsprop_e15,rmsprop,15,14,0.9812222123146057,0.940500020980835,0.9448333382606506,0.8618000149726868,0.6277545094490051,52650,outputs\models\mlp_h2_u64_32_rmsprop_e15.keras,outputs\summaries\mlp_h2_u64_32_rmsprop_e15_summary.txt,outputs\metrics\mlp_h2_u64_32_rmsprop_e15_history.csv
mlp,mlp_h3_u8_8_adam_e10,adam,10,10,0.8338888883590698,0.8316666483879089,0.8316666483879089,0.6845999956130981,1.0339456796646118,6514,outputs\models\mlp_h3_u8_8_adam_e10.keras,outputs\summaries\mlp_h3_u8_8_adam_e10_summary.txt,outputs\metrics\mlp_h3_u8_8_adam_e10_history.csv
mlp,mlp_h3_u8_8_adam_e15,adam,15,13,0.8479999899864197,0.8320000171661377,0.8356666564941406,0.6965000033378601,1.0066710710525513,6514,outputs\models\mlp_h3_u8_8_adam_e15.keras,outputs\summaries\mlp_h3_u8_8_adam_e15_summary.txt,outputs\metrics\mlp_h3_u8_8_adam_e15_history.csv
mlp,mlp_h3_u8_8_rmsprop_e10,rmsprop,10,9,0.8441110849380493,0.8335000276565552,0.8373333215713501,0.6962000131607056,1.056458592414856,6514,outputs\models\mlp_h3_u8_8_rmsprop_e10.keras,outputs\summaries\mlp_h3_u8_8_rmsprop_e10_summary.txt,outputs\metrics\mlp_h3_u8_8_rmsprop_e10_history.csv
mlp,mlp_h3_u8_8_rmsprop_e15,rmsprop,15,13,0.8487963080406189,0.8348333239555359,0.8360000252723694,0.690500020980835,1.0282691717147827,6514,outputs\models\mlp_h3_u8_8_rmsprop_e15.keras,outputs\summaries\mlp_h3_u8_8_rmsprop_e15_summary.txt,outputs\metrics\mlp_h3_u8_8_rmsprop_e15_history.csv
mlp,mlp_h3_u32_32_adam_e10,adam,10,7,0.9485555291175842,0.918833315372467,0.921999990940094,0.8327000141143799,0.6299134492874146,27562,outputs\models\mlp_h3_u32_32_adam_e10.keras,outputs\summaries\mlp_h3_u32_32_adam_e10_summary.txt,outputs\metrics\mlp_h3_u32_32_adam_e10_history.csv
mlp,mlp_h3_u32_32_adam_e15,adam,15,15,0.9612036943435669,0.9283333420753479,0.9283333420753479,0.8389999866485596,0.6269856691360474,27562,outputs\models\mlp_h3_u32_32_adam_e15.keras,outputs\summaries\mlp_h3_u32_32_adam_e15_summary.txt,outputs\metrics\mlp_h3_u32_32_adam_e15_history.csv
mlp,mlp_h3_u32_32_rmsprop_e10,rmsprop,10,9,0.9436481595039368,0.9175000190734863,0.9198333621025085,0.8324999809265137,0.607291579246521,27562,outputs\models\mlp_h3_u32_32_rmsprop_e10.keras,outputs\summaries\mlp_h3_u32_32_rmsprop_e10_summary.txt,outputs\metrics\mlp_h3_u32_32_rmsprop_e10_history.csv
mlp,mlp_h3_u32_32_rmsprop_e15,rmsprop,15,15,0.9554444551467896,0.9256666898727417,0.9256666898727417,0.8406000137329102,0.6361579298973083,27562,outputs\models\mlp_h3_u32_32_rmsprop_e15.keras,outputs\summaries\mlp_h3_u32_32_rmsprop_e15_summary.txt,outputs\metrics\mlp_h3_u32_32_rmsprop_e15_history.csv
mlp,mlp_h3_u64_32_adam_e10,adam,10,9,0.9708518385887146,0.9321666955947876,0.9409999847412109,0.857200026512146,0.6082978844642639,53706,outputs\models\mlp_h3_u64_32_adam_e10.keras,outputs\summaries\mlp_h3_u64_32_adam_e10_summary.txt,outputs\metrics\mlp_h3_u64_32_adam_e10_history.csv
mlp,mlp_h3_u64_32_adam_e15,adam,15,11,0.9857222437858582,0.9391666650772095,0.940500020980835,0.8693000078201294,0.6030229926109314,53706,outputs\models\mlp_h3_u64_32_adam_e15.keras,outputs\summaries\mlp_h3_u64_32_adam_e15_summary.txt,outputs\metrics\mlp_h3_u64_32_adam_e15_history.csv
mlp,mlp_h3_u64_32_rmsprop_e10,rmsprop,10,10,0.9698148369789124,0.9398333430290222,0.9398333430290222,0.866599977016449,0.5439468026161194,53706,outputs\models\mlp_h3_u64_32_rmsprop_e10.keras,outputs\summaries\mlp_h3_u64_32_rmsprop_e10_summary.txt,outputs\metrics\mlp_h3_u64_32_rmsprop_e10_history.csv
mlp,mlp_h3_u64_32_rmsprop_e15,rmsprop,15,13,0.9818333387374878,0.9424999952316284,0.9440000057220459,0.8697999715805054,0.6309884786605835,53706,outputs\models\mlp_h3_u64_32_rmsprop_e15.keras,outputs\summaries\mlp_h3_u64_32_rmsprop_e15_summary.txt,outputs\metrics\mlp_h3_u64_32_rmsprop_e15_history.csv
