experiment,val_accuracy_last,val_accuracy_best,train_accuracy_last,val_loss_last
exp2_deeper_256_128_64_relu,0.9176440238952637,0.9176440238952637,0.9294179677963257,0.21218112111091614
exp1_deeper_128_64_relu,0.8890733122825623,0.8890733122825623,0.8923519849777222,0.2743052840232849
exp5_l2_1e-4,0.8801848888397217,0.8801848888397217,0.8833897709846497,0.34478458762168884
exp3_activation_elu,0.8774310946464539,0.8774310946464539,0.8795356750488281,0.29696398973464966
exp6_lr5e-4_bs128,0.865543007850647,0.865543007850647,0.8717444539070129,0.32855284214019775
exp4_dropout_0p3,0.8381401896476746,0.8382508158683777,0.8050718307495117,0.38427284359931946
baseline_1x64_relu_lr1e-3_bs64,0.8204125761985779,0.8204125761985779,0.823254406452179,0.4276866912841797
